Sky,AirTemp,Humidity,Wind,Water,Forecast,EnjoySport
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Warm,Normal,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Cool,Same,Yes
Sunny,Warm,High,Weak,Warm,Change,Yes
Sunny,Warm,Normal,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Warm,Change,Yes
Sunny,Warm,Normal,Weak,Cool,Same,Yes
Sunny,Warm,High,Weak,Cool,Change,Yes
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Cool,Same,Yes
Sunny,Warm,Normal,Weak,Warm,Change,Yes
Sunny,Warm,High,Weak,Warm,Same,Yes
Sunny,Warm,Normal,Strong,Cool,Change,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Sunny,Warm,Normal,Weak,Cool,Change,Yes
Sunny,Warm,High,Weak,Cool,Same,Yes
Sunny,Warm,Normal,Strong,Warm,Change,Yes
Sunny,Warm,High,Strong,Cool,Change,Yes
Rainy,Cold,High,Strong,Warm,Change,No
Rainy,Cold,High,Weak,Cool,Change,No
Rainy,Cold,Normal,Strong,Cool,Same,No
Rainy,Cold,Normal,Weak,Warm,Same,No
Rainy,Cold,High,Strong,Warm,Same,No
Rainy,Cold,Normal,Weak,Cool,Change,No
Rainy,Cold,High,Weak,Warm,Change,No
Rainy,Cold,Normal,Strong,Warm,Change,No
Rainy,Cold,High,Strong,Cool,Same,No
Rainy,Cold,Normal,Weak,Warm,Same,No
Rainy,Cold,High,Weak,Cool,Same,No
Rainy,Cold,Normal,Strong,Cool,Change,No
Rainy,Cold,High,Strong,Warm,Change,No
Rainy,Cold,Normal,Weak,Cool,Same,No
Rainy,Cold,High,Weak,Warm,Same,No
Rainy,Cold,Normal,Strong,Warm,Change,No
Rainy,Cold,High,Strong,Cool,Change,No
Rainy,Cold,Normal,Weak,Warm,Change,No
Rainy,Cold,High,Weak,Cool,Change,No
Rainy,Cold,Normal,Strong,Cool,Same,No
Cloudy,Warm,Normal,Strong,Warm,Same,Yes
Cloudy,Warm,High,Strong,Warm,Change,Yes
Cloudy,Warm,Normal,Weak,Cool,Same,Yes
Cloudy,Warm,High,Weak,Warm,Same,Yes
Cloudy,Warm,Normal,Strong,Cool,Change,Yes
Cloudy,Warm,High,Strong,Cool,Same,Yes
Cloudy,Warm,Normal,Weak,Warm,Change,Yes
Cloudy,Warm,High,Weak,Cool,Change,Yes
Cloudy,Warm,Normal,Strong,Warm,Same,Yes
Cloudy,Warm,High,Strong,Warm,Same,Yes
Cloudy,Cold,High,Strong,Cool,Change,No
Cloudy,Cold,Normal,Weak,Warm,Same,No
Cloudy,Cold,High,Weak,Cool,Same,No
Cloudy,Cold,Normal,Strong,Warm,Change,No
Cloudy,Cold,High,Strong,Warm,Same,No
Cloudy,Cold,Normal,Weak,Cool,Change,No
Cloudy,Cold,High,Weak,Warm,Change,No
Cloudy,Cold,Normal,Strong,Cool,Same,No
Cloudy,Cold,High,Strong,Cool,Change,No
Cloudy,Cold,Normal,Weak,Warm,Same,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,No
Sunny,Cold,High,Weak,Cool,Same,No
Sunny,Cold,Normal,Strong,Warm,Change,No
Sunny,Cold,High,Strong,Warm,Same,No
Sunny,Cold,Normal,Weak,Cool,Change,No
Sunny,Cold,High,Weak,Warm,Change,No
Sunny,Cold,Normal,Strong,Cool,Same,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,No
Cloudy,Cold,High,Strong,Cool,Change,No
Cloudy,Cold,Normal,Weak,Warm,Same,No
Cloudy,Cold,High,Weak,Cool,Same,No
Cloudy,Cold,Normal,Strong,Warm,Change,No
Cloudy,Cold,High,Strong,Warm,Same,No
Cloudy,Cold,Normal,Weak,Cool,Change,No
Cloudy,Cold,High,Weak,Warm,Change,No
Cloudy,Cold,Normal,Strong,Cool,Same,No
Cloudy,Cold,High,Strong,Cool,Change,No
Cloudy,Cold,Normal,Weak,Warm,Same,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,No
Sunny,Cold,High,Weak,Cool,Same,No
Sunny,Cold,Normal,Strong,Warm,Change,No
Sunny,Cold,High,Strong,Warm,Same,No
Sunny,Cold,Normal,Weak,Cool,Change,No
Sunny,Cold,High,Weak,Warm,Change,No
Sunny,Cold,Normal,Strong,Cool,Same,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,No
Cloudy,Cold,High,Strong,Cool,Change,No
Cloudy,Cold,Normal,Weak,Warm,Same,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,No
Sunny,Cold,High,Weak,Cool,Same,No
Sunny,Cold,Normal,Strong,Warm,Change,No
Sunny,Cold,High,Strong,Warm,Same,No
Sunny,Cold,Normal,Weak,Cool,Change,No
Sunny,Cold,High,Weak,Warm,Change,No
Sunny,Cold,Normal,Strong,Cool,Same,No
Sunny,Cold,High,Strong,Cool,Change,No
Sunny,Cold,Normal,Weak,Warm,Same,No
